,STT,Tên,Thuộc tỉnh/thành phố,Diện tích (km²),Dân số năm 2024 (người),Mật độ dân số (người/km²),Loại đô thị [ 2 ] (năm công nhận),Năm thành lập
466,467,Quảng Trị,Quảng Trị,"72,82",29.705,408,III (2026),2025
467,468,Quang Trung,Thanh Hóa,"29,22",32.808,1.123,II (2026),2025
468,469,Quảng Yên,Quảng Ninh,"20,69",31.353,1.515,II (2026),2025
469,470,Quế Võ,Bắc Ninh,"23,51",40.194,1.710,III (2026),2025
470,471,Quy Nhơn,Gia Lai,"21,78",129.326,5.938,II (2026),2025
471,472,Quy Nhơn Bắc,Gia Lai,"23,70",45.746,1.930,II (2026),2025
472,473,Quy Nhơn Đông,Gia Lai,"81,97",47.067,574,III (2026),2025
473,474,Quy Nhơn Nam,Gia Lai,"36,36",73.296,2.016,II (2026),2025
474,475,Quy Nhơn Tây,Gia Lai,"118,63",24.859,210,III (2026),2025
475,476,Quyết Thắng,Thái Nguyên,"24,43",29.933,1.225,III (2026),2025
476,477,Quỳnh Mai,Nghệ An,"40,50",57.988,1.432,III (2026),2025
477,478,Rạch Dừa,Thành phố Hồ Chí Minh,"19,70",76.281,3.872,II (2026),2025
478,479,Rạch Giá,An Giang,"45,52",250.661,5.507,II (2026),2025
479,480,Sa Đéc,Đồng Tháp,"46,92",104.509,2.227,III (2026),2025
480,481,Sa Huỳnh,Quảng Ngãi,"49,95",32.396,649,III (2026),2025
481,482,Sa Pa,Lào Cai,"54,63",22.882,419,III (2026),2025
482,483,Sài Gòn,Thành phố Hồ Chí Minh,"3,04",47.022,15.468,II (2026),2025
483,484,Sầm Sơn,Thanh Hóa,"30,29",99.866,3.297,II (2026),2025
484,485,Sóc Trăng,Cần Thơ,"41,67",61.253,1.470,II (2026),2025
485,486,Song Liễu,Bắc Ninh,"17,75",31.758,1.789,III (2026),2025
486,487,Sông Cầu,Đắk Lắk,"90,49",38.891,430,II (2026),2025
487,488,Sông Công,Thái Nguyên,"13,98",21.039,1.505,II (2026),2025
488,489,Sông Trí,Hà Tĩnh,"69,90",37.314,534,II (2026),2025
489,490,Sơn Đông,Vĩnh Long,"23,48",34.188,1.456,III (2026),2025
490,491,Sơn Nam,Hưng Yên,"23,62",30.471,1.290,II (2026),2025
491,492,Sơn Qui,Đồng Tháp,"48,96",46.507,950,II (2026),2025
492,493,Sơn Tây,Hà Nội,"23,08",71.301,3.089,II (2026),2025
493,494,Sơn Trà,Đà Nẵng,"56,03",86.890,1.551,II (2026),2025
494,495,Tam Bình,Thành phố Hồ Chí Minh,"10,71",153.414,14.324,II (2026),2025
495,496,Tam Chúc,Ninh Bình,"46,56",18.114,389,III (2026),2025
496,497,Tam Điệp,Ninh Bình,"41,20",26.845,652,II (2026),2025
497,498,Tam Hiệp,Đồng Nai,"10,81",139.441,12.899,II (2026),2025
498,499,Tam Kỳ,Đà Nẵng,"8,36",44.075,5.272,II (2026),2025
499,500,Tam Long,Thành phố Hồ Chí Minh,"34,70",41.130,1.185,III (2026),2025
500,501,Tam Phước,Đồng Nai,"45,09",48.313,1.071,II (2026),2019
501,502,Tam Quan,Gia Lai,"29,82",24.858,834,III (2026),2025
502,503,Tam Sơn,Bắc Ninh,"14,11",28.562,2.024,II (2026),2025
503,504,Tam Thanh,Lạng Sơn,"27,35",30.301,1.108,III (2026),2025
504,505,Tam Thắng,Thành phố Hồ Chí Minh,"11,76",86.420,7.349,II (2026),2025
505,506,Tăng Nhơn Phú,Thành phố Hồ Chí Minh,"16,51",208.233,12.613,II (2026),2025
506,507,Tân An,Bắc Ninh,"42,87",37.816,882,III (2026),2025
507,508,Tân An,Cần Thơ,"8,06",85.997,10.670,II (2026),2025
508,509,Tân An,Đắk Lắk,"56,41",64.122,1.137,III (2026),2025
509,510,Tân An,Tây Ninh,"25,50",32.292,1.266,III (2026),2025
510,511,Tân Bình,Thành phố Hồ Chí Minh,"2,12",89.373,42.157,II (2026),2025
511,512,Tân Châu,An Giang,"17,39",33.506,1.927,III (2026),2025
512,513,Tân Dân,Thanh Hóa,"24,59",22.095,899,III (2026),2025
513,514,Tân Định,Thành phố Hồ Chí Minh,"1,23",48.524,39.450,II (2026),2025
514,515,Tân Đông Hiệp,Thành phố Hồ Chí Minh,"21,45",100.243,4.673,II (2026),2025
515,516,Tân Giang,Cao Bằng,"84,26",18.204,216,II (2026),2025
516,517,Tân Hải,Thành phố Hồ Chí Minh,"51,86",30.297,584,II (2026),2025
517,518,Tân Hạnh,Vĩnh Long,"17,84",32.093,1.799,III (2026),2025
518,519,Tân Hiệp,Thành phố Hồ Chí Minh,"47,06",142.494,3.028,II (2026),2025
519,520,Tân Hòa,Thành phố Hồ Chí Minh,"1,47",93.437,63.563,II (2026),2025
520,521,Tân Hòa,Phú Thọ,"57,00",14.316,251,III (2026),2025
521,522,Tân Hưng,Hải Phòng,"14,18",38.794,2.736,III (2026),2025
522,523,Tân Hưng,Thành phố Hồ Chí Minh,"8,54",153.674,17.995,II (2026),2025
523,524,Tân Khai,Đồng Nai,"161,79",36.140,223,,2026
524,525,Tân Khánh,Thành phố Hồ Chí Minh,"38,27",126.393,3.303,II (2026),2025
525,526,Tân Lập,Đắk Lắk,"46,70",73.316,1.570,III (2026),2025
526,527,Tân Lộc,Cần Thơ,"33,40",35.621,1.066,II (2026),2008
527,528,Tân Mai,Nghệ An,"51,61",33.894,657,III (2026),2025
528,529,Tân Mỹ,Thành phố Hồ Chí Minh,"6,45",68.124,10.562,II (2026),2025
529,530,Tân Ngãi,Vĩnh Long,"21,70",31.294,1.442,II (2026),2025
530,531,Tân Ninh,Tây Ninh,"21,35",89.360,4.185,III (2026),2025
531,532,Tân Phong,Lai Châu,"106,76",36.456,341,II (2026),2025
532,533,Tân Phú,Đồng Nai,"105,81",76.765,725,,2026
533,534,Tân Phú,Thành phố Hồ Chí Minh,"2,52",93.117,36.951,II (2026),2025
534,535,Tân Phước,Thành phố Hồ Chí Minh,"83,62",29.363,351,II (2026),2025
535,536,Tân Sơn,Thành phố Hồ Chí Minh,"10,12",77.229,7.631,II (2026),2025
536,537,Tân Sơn Hòa,Thành phố Hồ Chí Minh,"2,62",64.150,24.485,II (2026),2025
537,538,Tân Sơn Nhất,Thành phố Hồ Chí Minh,"3,19",84.639,26.533,II (2026),2025
538,539,Tân Sơn Nhì,Thành phố Hồ Chí Minh,"3,46",117.277,33.895,II (2026),2025
539,540,Tân Tạo,Thành phố Hồ Chí Minh,"14,71",113.363,7.707,III (2026),2025
540,541,Tân Thành,Cà Mau,"48,42",83.758,1.730,III (2026),2025
541,542,Tân Thành,Thành phố Hồ Chí Minh,"61,63",33.943,551,II (2026),2025
542,543,Tân Thới Hiệp,Thành phố Hồ Chí Minh,"8,06",168.060,20.851,II (2026),2025
543,544,Tân Thuận,Thành phố Hồ Chí Minh,"10,16",148.090,14.576,II (2026),2025
544,545,Tân Tiến,Bắc Ninh,"25,46",34.321,1.348,III (2026),2025
545,546,Tân Triều,Đồng Nai,"63,29",101.608,1.605,III (2026),2025
546,547,Tân Uyên,Thành phố Hồ Chí Minh,"87,61",73.032,834,II (2026),2025
547,548,Tây Hiếu,Nghệ An,"43,96",24.698,562,III (2026),2025
548,549,Tây Hoa Lư,Ninh Bình,"84,96",46.648,549,III (2026),2025
549,550,Tây Hồ,Hà Nội,"10,72",100.122,9.340,II (2026),2025
550,551,Tây Mỗ,Hà Nội,"5,56",46.894,8.434,III (2026),2025
551,552,Tây Nam,Thành phố Hồ Chí Minh,"119,80",56.784,474,II (2026),2025
552,553,Tây Nha Trang,Khánh Hòa,"27,89",108.065,3.875,III (2026),2025
553,554,Tây Thạnh,Thành phố Hồ Chí Minh,"3,95",72.616,18.384,II (2026),2025
554,555,Tây Tựu,Hà Nội,"7,54",39.436,5.230,III (2026),2025
555,556,Thạch Khôi,Hải Phòng,"19,94",34.432,1.727,III (2026),2025
556,557,Thái Bình,Hưng Yên,"28,03",67.922,2.423,III (2026),2025
557,558,Thái Hòa,Nghệ An,"27,09",26.916,994,III (2026),2025
558,559,Thanh Điền,Tây Ninh,"30,73",43.528,1.416,II (2026),2025
559,560,Thành Đông,Hải Phòng,"12,22",50.307,4.117,III (2026),2025
560,561,Thanh Đức,Vĩnh Long,"16,49",35.158,2.132,III (2026),2025
561,562,Thanh Hòa,Đồng Tháp,"19,50",20.903,1.072,II (2026),2025
562,563,Thanh Khê,Đà Nẵng,"7,92",201.240,25.409,II (2026),2025
563,564,Thanh Liệt,Hà Nội,"6,44",76.238,11.838,III (2026),2025
564,565,Thanh Miếu,Phú Thọ,"19,57",58.548,2.992,III (2026),2025
565,566,Thạnh Mỹ Tây,Thành phố Hồ Chí Minh,"4,40",153.216,34.822,II (2026),2025
566,567,Thành Nam,Ninh Bình,"16,03",30.830,1.923,III (2026),2025
567,568,Thành Nhất,Đắk Lắk,"32,22",52.466,1.628,II (2026),2025
568,569,Thành Sen,Hà Tĩnh,"28,23",90.983,3.223,II (2026),2025
569,570,Thanh Thủy,Huế,"48,92",43.569,891,III (2026),2025
570,571,Thành Vinh,Nghệ An,"15,54",123.507,7.948,III (2026),2025
571,572,Thanh Xuân,Hà Nội,"3,24",106.316,32.814,II (2026),2025
572,573,Thảo Nguyên,Sơn La,"53,09",22.479,423,III (2026),2025
573,574,Thiên Hương,Hải Phòng,"21,10",45.140,2.139,II (2026),2025
574,575,Thiên Trường,Ninh Bình,"20,53",31.031,1.511,III (2026),2025
575,576,Thống Nhất,Gia Lai,"22,92",48.721,2.126,II (2026),2025
576,577,Thống Nhất,Phú Thọ,"55,21",22.897,415,III (2026),2025
577,578,Thông Tây Hội,Thành phố Hồ Chí Minh,"3,24",121.192,37.405,II (2026),2025
578,579,Thốt Nốt,Cần Thơ,"23,61",61.387,2.600,II (2026),2025
579,580,Thới An,Thành phố Hồ Chí Minh,"14,90",125.657,8.433,II (2026),2025
580,581,Thới An Đông,Cần Thơ,"25,04",39.401,1.574,II (2026),2025
581,582,Thới Hòa,Thành phố Hồ Chí Minh,"37,93",79.601,2.099,II (2026),2013
582,583,Thới Long,Cần Thơ,"54,10",52.979,979,II (2026),2025
583,584,Thới Sơn,An Giang,"49,36",33.045,669,III (2026),2025
584,585,Thới Sơn,Đồng Tháp,"15,21",38.490,2.531,III (2026),2025
585,586,Thủ Dầu Một,Thành phố Hồ Chí Minh,"15,68",88.132,5.621,II (2026),2025
586,587,Thủ Đức,Thành phố Hồ Chí Minh,"8,81",118.952,13.502,II (2026),2025
587,588,Thuận An,Thành phố Hồ Chí Minh,"16,11",64.689,4.015,II (2026),2025
588,589,Thuận An,Huế,"36,48",54.846,1.503,III (2026),2025
589,590,Thuận Giao,Thành phố Hồ Chí Minh,"16,81",150.781,8.970,II (2026),2025
590,591,Thuận Hóa,Huế,"7,58",98.923,13.051,II (2026),2025
591,592,Thuận Hưng,Cần Thơ,"31,13",56.878,1.827,II (2026),2025
592,593,Thuận Thành,Bắc Ninh,"26,58",52.318,1.968,III (2026),2025
593,594,Thục Phán,Cao Bằng,"55,44",41.157,742,II (2026),2025
594,595,Thủy Nguyên,Hải Phòng,"45,34",71.731,1.582,II (2026),2025
595,596,Thủy Xuân,Huế,"37,02",43.373,1.172,II (2026),2025
596,597,Thượng Cát,Hà Nội,"14,77",24.692,1.672,II (2026),2025
597,598,Thượng Hồng,Hưng Yên,"25,61",37.153,1.451,III (2026),2025
598,599,Thường Lạc,Đồng Tháp,"43,74",38.225,874,II (2026),2025
599,600,Tích Lương,Thái Nguyên,"23,56",55.278,2.346,II (2026),2025
600,601,Tiền Phong,Bắc Ninh,"30,70",36.335,1.184,II (2026),2025
601,602,Tiên Sơn,Ninh Bình,"23,96",27.062,1.129,III (2026),2025
602,603,Tiến Thành,Lâm Đồng,"55,06",28.395,516,II (2026),2025
603,604,Tịnh Biên,An Giang,"75,57",34.865,461,III (2026),2025
604,605,Tĩnh Gia,Thanh Hóa,"32,18",58.583,1.820,III (2026),2025
605,606,Tô Châu,An Giang,"79,77",25.865,324,II (2026),2025
606,607,Tô Hiệu,Sơn La,"11,92",51.293,4.303,II (2026),2025
607,608,Trà Câu,Quảng Ngãi,"54,46",45.524,836,III (2026),2025
608,609,Trà Lý,Hưng Yên,"20,94",43.929,2.098,III (2026),2025
609,610,Trà Vinh,Vĩnh Long,"15,73",43.397,2.759,II (2026),2025
610,611,Trạm Lộ,Bắc Ninh,"18,24",21.132,1.159,III (2026),2025
611,612,Trảng Bàng,Tây Ninh,"36,97",53.532,1.448,II (2026),2025
612,613,Trảng Bom,Đồng Nai,"68,77",92.712,1.348,,2026
613,614,Trảng Dài,Đồng Nai,"37,29",104.972,2.815,III (2026),2025
614,615,Trấn Biên,Đồng Nai,"31,03",197.060,6.351,II (2026),2025
615,616,Trần Hưng Đạo,Hải Phòng,"66,88",36.012,538,II (2026),2025
616,617,Trần Hưng Đạo,Hưng Yên,"9,32",45.657,4.899,III (2026),2025
617,618,Trần Lãm,Hưng Yên,"34,63",92.136,2.661,III (2026),2025
618,619,Trần Liễu,Hải Phòng,"23,87",26.696,1.118,II (2026),2025
619,620,Trần Nhân Tông,Hải Phòng,"40,10",27.053,675,II (2026),2025
620,621,Trần Phú,Hà Tĩnh,"29,50",38.404,1.302,III (2026),2025
621,622,Trị An,Đồng Nai,"660,46",51.028,77,,2026
622,623,Trí Quả,Bắc Ninh,"19,95",34.574,1.733,III (2026),2025
623,624,Trúc Lâm,Thanh Hóa,"81,05",23.950,295,III (2026),2025
624,625,Trung An,Đồng Tháp,"23,38",70.479,3.014,III (2026),2025
625,626,Trung Mỹ Tây,Thành phố Hồ Chí Minh,"6,93",126.470,18.250,II (2026),2025
626,627,Trung Nhứt,Cần Thơ,"30,84",37.469,1.215,III (2026),2025
627,628,Trung Sơn,Ninh Bình,"38,15",31.539,827,II (2026),2025
628,629,Trung Tâm,Lào Cai,"43,15",26.888,623,III (2026),2025
629,630,Trung Thành,Thái Nguyên,"25,84",37.075,1.435,II (2026),2025
630,631,Trường Long Hòa,Vĩnh Long,"56,49",16.150,286,III (2026),2025
631,632,Trương Quang Trọng,Quảng Ngãi,"34,65",49.308,1.423,III (2026),2025
632,633,Trường Thi,Ninh Bình,"31,50",69.988,2.222,III (2026),2025
633,634,Trường Vinh,Nghệ An,"34,22",141.477,4.134,III (2026),2025
634,635,Tuần Châu,Quảng Ninh,"62,08",14.904,240,II (2026),2025
635,636,Tùng Thiện,Hà Nội,"32,34",42.052,1.300,II (2026),2025
636,637,Tuy Hòa,Đắk Lắk,"33,77",126.118,3.735,III (2026),2025
637,638,Tự Lạn,Bắc Ninh,"39,89",45.470,1.140,III (2026),2025
638,639,Từ Liêm,Hà Nội,"10,18",119.997,11.788,II (2026),2025
639,640,Tứ Minh,Hải Phòng,"14,77",30.416,2.059,III (2026),2025
640,641,Từ Sơn,Bắc Ninh,"20,31",65.697,3.235,II (2026),2025
641,642,Tương Mai,Hà Nội,"3,56",136.292,38.284,II (2026),2025
642,643,Uông Bí,Quảng Ninh,"49,81",59.866,1.202,II (2026),2025
643,644,Vạn Xuân,Thái Nguyên,"40,20",61.610,1.533,II (2026),2025
644,645,Vàng Danh,Quảng Ninh,"93,77",36.864,393,II (2026),2025
645,646,Văn Miếu - Quốc Tử Giám,Hà Nội,"1,92",105.604,55.002,II (2026),2025
646,647,Văn Phú,Lào Cai,"51,46",26.573,516,III (2026),2025
647,648,Vân Hà,Bắc Ninh,"43,17",58.177,1.348,III (2026),2025
648,649,Vân Phú,Phú Thọ,"26,26",37.450,1.426,III (2026),2025
649,650,Vân Sơn,Sơn La,"39,61",15.917,402,III (2026),2025
650,651,Vị Khê,Ninh Bình,"25,27",36.210,1.433,III (2026),2025
651,652,Vị Tân,Cần Thơ,"37,07",36.079,973,III (2026),2025
652,653,Vị Thanh,Cần Thơ,"22,11",32.766,1.482,II (2026),2025
653,654,Việt Hòa,Hải Phòng,"17,02",31.001,1.821,III (2026),2025
654,655,Việt Hưng,Hà Nội,"12,91",83.188,6.444,II (2026),2025
655,656,Việt Hưng,Quảng Ninh,"41,39",51.787,1.251,II (2026),2025
656,657,Việt Trì,Phú Thọ,"25,83",73.006,2.826,III (2026),2025
657,658,Việt Yên,Bắc Ninh,"51,97",59.470,1.144,III (2026),2025
658,659,Vĩnh Châu,Cần Thơ,"98,26",68.137,693,II (2026),2025
659,660,Vĩnh Hội,Thành phố Hồ Chí Minh,"1,17",63.015,53.859,II (2026),2025
660,661,Vĩnh Hưng,Hà Nội,"4,47",67.561,15.114,II (2026),2025
661,662,Vinh Hưng,Nghệ An,"25,47",60.159,2.362,III (2026),2025
662,663,Vinh Lộc,Nghệ An,"38,86",68.086,1.752,III (2026),2025
663,664,Vinh Phú,Nghệ An,"23,04",74.473,3.232,III (2026),2025
664,665,Vĩnh Phúc,Phú Thọ,"25,30",78.371,3.098,II (2026),2025
665,666,Vĩnh Phước,Cần Thơ,"103,15",51.897,503,II (2026),2025
666,667,Vĩnh Tân,Thành phố Hồ Chí Minh,"61,35",61.865,1.008,II (2026),2025
667,668,Vĩnh Tế,An Giang,"64,25",40.222,626,III (2026),2025
668,669,Vĩnh Thông,An Giang,"95,90",55.185,575,III (2026),2025
669,670,Vĩnh Trạch,Cà Mau,"49,75",42.716,859,III (2026),2025
670,671,Vĩnh Tuy,Hà Nội,"2,33",90.583,38.877,II (2026),2025
671,672,Vĩnh Yên,Phú Thọ,"25,00",56.428,2.257,III (2026),2025
672,673,Võ Cường,Bắc Ninh,"18,08",67.255,3.720,II (2026),2025
673,674,Vũ Ninh,Bắc Ninh,"13,43",45.480,3.386,II (2026),2025
674,675,Vũ Phúc,Hưng Yên,"35,50",51.837,1.460,III (2026),2025
675,676,Vũng Áng,Hà Tĩnh,"82,98",21.339,257,II (2026),2025
676,677,Vũng Tàu,Thành phố Hồ Chí Minh,"16,86",117.413,6.964,II (2026),2025
677,678,Vườn Lài,Thành phố Hồ Chí Minh,"1,28",104.076,81.309,II (2026),2025
678,679,Vỹ Dạ,Huế,"8,93",49.684,5.564,II (2026),2025
679,680,Xóm Chiếu,Thành phố Hồ Chí Minh,"1,94",57.875,29.832,II (2026),2025
680,681,Xuân Đài,Đắk Lắk,"13,40",21.574,1.610,II (2026),2025
681,682,Xuân Đỉnh,Hà Nội,"5,46",48.658,8.912,II (2026),2025
682,683,Xuân Hòa,Thành phố Hồ Chí Minh,"2,22",48.464,21.831,II (2026),2025
683,684,Xuân Hòa,Phú Thọ,"96,00",55.237,575,II (2026),2025
684,685,Xuân Hương - Đà Lạt,Lâm Đồng,"73,45",103.178,1.405,II (2026),2025
685,686,Xuân Lập,Đồng Nai,"29,19",18.947,649,II (2026),2025
686,687,Xuân Lộc,Đồng Nai,"140,50",104.304,742,,2026
687,688,Xuân Phương,Hà Nội,"10,81",104.947,9.708,III (2026),2025
688,689,Xuân Trường - Đà Lạt,Lâm Đồng,"168,83",36.163,214,III (2026),2025
689,690,Yên Bái,Lào Cai,"16,92",70.391,4.160,II (2026),2025
690,691,Yên Dũng,Bắc Ninh,"52,42",44.149,842,III (2026),2025
691,692,Yên Hòa,Hà Nội,"4,10",77.029,18.788,II (2026),2025
692,693,Yên Nghĩa,Hà Nội,"13,18",49.643,3.767,II (2026),2025
693,694,Yên Sở,Hà Nội,"5,61",40.913,7.293,III (2026),2025
694,695,Yên Sơn,Ninh Bình,"35,86",21.196,591,II (2026),2025
695,696,Yên Thắng,Ninh Bình,"29,95",28.405,948,II (2026),2025
696,697,Yên Tử,Quảng Ninh,"113,23",38.932,344,III (2026),2025
