model,lr,depth,n_est,alpha,lambda,mape,subsample,iterations
lgbm,0.06,8,1000.0,0.2,0.5,20.18775635932207,,
lgbm,0.06,8,1000.0,0.1,0.5,20.187756359374664,,
lgbm,0.06,8,1000.0,0.15,0.5,20.187756359396058,,
lgbm,0.06,8,1000.0,0.05,0.5,20.187756359500252,,
lgbm,0.06,10,1500.0,0.05,2.0,20.187812316877622,,
lgbm,0.06,10,1500.0,0.2,2.0,20.18781231691303,,
lgbm,0.06,10,1500.0,0.1,2.0,20.187812316916336,,
lgbm,0.06,10,1500.0,0.15,2.0,20.18781231701485,,
xgb,0.06,8,1800.0,,,20.187823740868456,0.7,
catboost,0.07,7,,,,20.19209445193207,,1000.0
catboost,0.05,7,,,,20.193355060692912,,1200.0
xgb,0.06,8,1200.0,,,20.19363060824814,0.7,
xgb,0.06,8,1000.0,,,20.19412542817415,0.7,
catboost,0.03,8,,,,20.194388006550533,,1500.0
xgb,0.06,8,1500.0,,,20.19521025704197,0.7,
catboost,0.04,7,,,,20.197717453803623,,1800.0
catboost,0.04,7,,,,20.197717453803623,,1500.0
lgbm,0.04,10,800.0,0.2,0.5,20.198216233515293,,
lgbm,0.04,10,800.0,0.1,0.5,20.198216233537778,,
lgbm,0.04,10,800.0,0.15,0.5,20.198216233556565,,
lgbm,0.04,10,800.0,0.05,0.5,20.198216233585605,,
lgbm,0.04,10,1200.0,0.2,2.0,20.20097673826281,,
lgbm,0.04,10,1200.0,0.1,2.0,20.20097673829277,,
lgbm,0.04,10,1200.0,0.05,2.0,20.200976738308213,,
lgbm,0.04,10,1200.0,0.15,2.0,20.200976738313106,,
lgbm,0.06,10,1200.0,0.05,2.0,20.202697946902358,,
lgbm,0.06,10,1200.0,0.2,2.0,20.202697946929437,,
lgbm,0.06,10,1200.0,0.1,2.0,20.202697946930055,,
lgbm,0.06,10,1200.0,0.15,2.0,20.202697947031535,,
lgbm,0.04,8,1500.0,0.05,2.0,20.205287353826872,,
lgbm,0.04,8,1500.0,0.2,2.0,20.20528735387465,,
lgbm,0.04,8,1500.0,0.15,2.0,20.205287353884437,,
lgbm,0.04,8,1500.0,0.1,2.0,20.205287353938424,,
xgb,0.06,10,1500.0,,,20.206047512914616,0.8,
lgbm,0.05,9,1500.0,0.2,0.5,20.206780184970754,,
lgbm,0.05,9,1500.0,0.1,0.5,20.206780185006632,,
lgbm,0.05,9,1500.0,0.15,0.5,20.20678018505028,,
lgbm,0.05,9,1500.0,0.05,0.5,20.206780185100943,,
lgbm,0.05,8,800.0,0.2,1.0,20.20733737645232,,
lgbm,0.05,8,800.0,0.1,1.0,20.20733737646197,,
lgbm,0.05,8,800.0,0.05,1.0,20.207337376478993,,
lgbm,0.05,8,800.0,0.15,1.0,20.207337376513223,,
lgbm,0.04,10,1000.0,0.2,2.0,20.208212717367317,,
lgbm,0.04,10,1000.0,0.15,2.0,20.208212717371808,,
lgbm,0.04,10,1000.0,0.1,2.0,20.20821271737548,,
lgbm,0.04,10,1000.0,0.05,2.0,20.208212717398208,,
xgb,0.06,10,1800.0,,,20.20891330714189,0.8,
catboost,0.06,7,,,,20.208974093703855,,1000.0
xgb,0.06,10,1200.0,,,20.210682421529818,0.8,
xgb,0.06,10,1000.0,,,20.211704945200292,0.8,
xgb,0.02,6,1000.0,,,20.218978726457422,0.7,
lgbm,0.06,9,1500.0,0.15,2.0,20.219942121483754,,
lgbm,0.06,9,1500.0,0.1,2.0,20.219942121571453,,
lgbm,0.06,9,1500.0,0.05,2.0,20.219942121625888,,
lgbm,0.06,9,1500.0,0.2,2.0,20.21994212168052,,
lgbm,0.03,10,1500.0,0.1,2.0,20.22903210099825,,
lgbm,0.03,10,1500.0,0.05,2.0,20.229032101006315,,
lgbm,0.03,10,1500.0,0.15,2.0,20.229032101030732,,
lgbm,0.03,10,1500.0,0.2,2.0,20.22903210103343,,
lgbm,0.04,9,1500.0,0.1,1.0,20.231416569141036,,
lgbm,0.04,9,1500.0,0.15,1.0,20.23141656918314,,
lgbm,0.04,9,1500.0,0.2,1.0,20.231416569223416,,
lgbm,0.04,9,1500.0,0.05,1.0,20.23141656923673,,
lgbm,0.05,9,1200.0,0.2,0.5,20.23217900863869,,
lgbm,0.05,9,1200.0,0.1,0.5,20.232179008677885,,
lgbm,0.05,9,1200.0,0.15,0.5,20.232179008747664,,
lgbm,0.05,9,1200.0,0.05,0.5,20.23217900877482,,
lgbm,0.03,9,1200.0,0.2,1.0,20.234641600896435,,
lgbm,0.03,9,1200.0,0.15,1.0,20.234641600922785,,
lgbm,0.03,9,1200.0,0.1,1.0,20.234641600940996,,
lgbm,0.03,9,1200.0,0.05,1.0,20.234641600950365,,
lgbm,0.05,9,1000.0,0.1,2.0,20.235681088753708,,
lgbm,0.05,9,1000.0,0.2,2.0,20.235681088818563,,
lgbm,0.05,9,1000.0,0.15,2.0,20.235681088843354,,
lgbm,0.05,9,1000.0,0.05,2.0,20.235681088929592,,
lgbm,0.04,9,1200.0,0.1,1.0,20.236028520717483,,
lgbm,0.04,9,1200.0,0.2,1.0,20.236028520735715,,
lgbm,0.04,9,1200.0,0.15,1.0,20.236028520745794,,
lgbm,0.04,9,1200.0,0.05,1.0,20.236028520750388,,
lgbm,0.03,9,1500.0,0.15,1.0,20.241465386934784,,
lgbm,0.03,9,1500.0,0.2,1.0,20.241465386936618,,
lgbm,0.03,9,1500.0,0.1,1.0,20.241465386976877,,
lgbm,0.03,9,1500.0,0.05,1.0,20.241465386991035,,
lgbm,0.04,8,1200.0,0.05,2.0,20.243233494554268,,
lgbm,0.04,8,1200.0,0.15,2.0,20.24323349458654,,
lgbm,0.04,8,1200.0,0.2,2.0,20.243233494592204,,
lgbm,0.04,8,1200.0,0.1,2.0,20.243233494630942,,
lgbm,0.07,6,1000.0,0.2,2.0,20.244978697459896,,
lgbm,0.07,6,1000.0,0.15,2.0,20.24497869751435,,
lgbm,0.07,6,1000.0,0.05,2.0,20.244978697570353,,
lgbm,0.07,6,1000.0,0.1,2.0,20.244978697637286,,
lgbm,0.06,10,1000.0,0.05,2.0,20.250029829727705,,
lgbm,0.06,10,1000.0,0.1,2.0,20.250029829770945,,
lgbm,0.06,10,1000.0,0.2,2.0,20.250029829794013,,
lgbm,0.06,10,1000.0,0.15,2.0,20.25002982984356,,
catboost,0.04,6,,,,20.255971594660654,,1500.0
lgbm,0.03,8,1200.0,0.05,1.0,20.257931349426357,,
lgbm,0.03,8,1200.0,0.2,1.0,20.25793134943867,,
lgbm,0.03,8,1200.0,0.15,1.0,20.257931349450704,,
lgbm,0.03,8,1200.0,0.1,1.0,20.257931349456214,,
lgbm,0.05,9,1500.0,0.2,2.0,20.25894960948537,,
lgbm,0.05,9,1500.0,0.1,2.0,20.25894960948724,,
lgbm,0.05,9,1500.0,0.05,2.0,20.25894960951308,,
lgbm,0.05,9,1500.0,0.15,2.0,20.258949609523217,,
catboost,0.04,7,,,,20.259326733669756,,1200.0
lgbm,0.05,9,1000.0,0.1,0.5,20.26042258506355,,
lgbm,0.05,9,1000.0,0.2,0.5,20.26042258506979,,
lgbm,0.05,9,1000.0,0.15,0.5,20.260422585111993,,
lgbm,0.05,9,1000.0,0.05,0.5,20.26042258516012,,
lgbm,0.06,9,1000.0,0.2,0.5,20.261451591330147,,
lgbm,0.06,9,1000.0,0.05,0.5,20.26145159135539,,
lgbm,0.06,9,1000.0,0.1,0.5,20.26145159145944,,
lgbm,0.06,9,1000.0,0.15,0.5,20.26145159154208,,
catboost,0.03,7,,,,20.26237034915907,,1500.0
lgbm,0.07,10,1000.0,0.2,0.5,20.26687506207012,,
lgbm,0.07,10,1000.0,0.15,0.5,20.266875062090893,,
lgbm,0.07,10,1000.0,0.1,0.5,20.2668750620931,,
lgbm,0.07,10,1000.0,0.05,0.5,20.26687506213595,,
lgbm,0.05,9,1200.0,0.1,2.0,20.267664696666646,,
lgbm,0.05,9,1200.0,0.2,2.0,20.26766469666878,,
lgbm,0.05,9,1200.0,0.15,2.0,20.26766469672131,,
lgbm,0.05,9,1200.0,0.05,2.0,20.267664696761788,,
xgb,0.02,6,1000.0,,,20.269962455383936,0.8,
lgbm,0.07,6,1200.0,0.2,2.0,20.271226412571785,,
lgbm,0.07,6,1200.0,0.15,2.0,20.27122641271554,,
lgbm,0.07,6,1200.0,0.05,2.0,20.271226412721187,,
lgbm,0.07,6,1200.0,0.1,2.0,20.27122641272385,,
lgbm,0.05,8,1500.0,0.15,2.0,20.277822929056253,,
lgbm,0.05,8,1500.0,0.05,2.0,20.277822929059617,,
lgbm,0.05,8,1500.0,0.2,2.0,20.277822929085918,,
lgbm,0.05,8,1500.0,0.1,2.0,20.277822929103625,,
lgbm,0.05,10,1500.0,0.2,0.5,20.28462205189372,,
lgbm,0.05,10,1500.0,0.1,0.5,20.284622051906222,,
lgbm,0.05,10,1500.0,0.05,0.5,20.284622051944233,,
lgbm,0.05,10,1500.0,0.15,0.5,20.28462205197992,,
lgbm,0.07,10,1200.0,0.1,0.5,20.285526368171233,,
lgbm,0.07,10,1200.0,0.15,0.5,20.285526368182314,,
lgbm,0.07,10,1200.0,0.2,0.5,20.28552636818468,,
lgbm,0.07,10,1200.0,0.05,0.5,20.285526368243488,,
lgbm,0.05,8,1200.0,0.05,2.0,20.28688788553512,,
lgbm,0.05,8,1200.0,0.2,2.0,20.286887885569353,,
lgbm,0.05,8,1200.0,0.1,2.0,20.286887885583372,,
lgbm,0.05,8,1200.0,0.15,2.0,20.28688788559321,,
lgbm,0.05,7,1500.0,0.2,2.0,20.28763692279438,,
lgbm,0.05,7,1500.0,0.05,2.0,20.287636922819537,,
lgbm,0.05,7,1500.0,0.1,2.0,20.287636922828494,,
lgbm,0.05,7,1500.0,0.15,2.0,20.28763692286325,,
lgbm,0.05,7,1200.0,0.1,0.5,20.28798572736745,,
lgbm,0.05,7,1200.0,0.05,0.5,20.287985727392236,,
lgbm,0.05,7,1200.0,0.15,0.5,20.28798572739441,,
lgbm,0.05,7,1200.0,0.2,0.5,20.28798572746341,,
lgbm,0.05,7,1000.0,0.05,0.5,20.288040891530514,,
lgbm,0.05,7,1000.0,0.15,0.5,20.288040891548896,,
lgbm,0.05,7,1000.0,0.1,0.5,20.288040891567952,,
lgbm,0.05,7,1000.0,0.2,0.5,20.288040891594562,,
xgb,0.06,10,1200.0,,,20.288979622497312,0.7,
catboost,0.05,7,,,,20.28976359852667,,1000.0
lgbm,0.03,8,1500.0,0.2,2.0,20.290079462535857,,
lgbm,0.03,8,1500.0,0.1,2.0,20.290079462591212,,
lgbm,0.03,8,1500.0,0.05,2.0,20.29007946260141,,
lgbm,0.03,8,1500.0,0.15,2.0,20.290079462615715,,
xgb,0.06,10,1500.0,,,20.290311830428266,0.7,
xgb,0.06,10,1000.0,,,20.2903465895898,0.7,
xgb,0.06,10,1800.0,,,20.29045240880054,0.7,
xgb,0.02,6,1200.0,,,20.291672853382977,0.9,
catboost,0.05,6,,,,20.29297517029607,,1800.0
lgbm,0.06,9,1200.0,0.2,0.5,20.29414690793427,,
lgbm,0.06,9,1200.0,0.1,0.5,20.294146907939897,,
lgbm,0.06,9,1200.0,0.05,0.5,20.29414690795008,,
lgbm,0.06,9,1200.0,0.15,0.5,20.294146908067294,,
lgbm,0.04,9,1000.0,0.1,1.0,20.295146661208978,,
lgbm,0.04,9,1000.0,0.05,1.0,20.295146661229698,,
lgbm,0.04,9,1000.0,0.15,1.0,20.295146661262024,,
lgbm,0.04,9,1000.0,0.2,1.0,20.29514666126507,,
lgbm,0.07,10,1500.0,0.15,0.5,20.296241889662234,,
lgbm,0.07,10,1500.0,0.1,0.5,20.296241889760662,,
lgbm,0.07,10,1500.0,0.05,0.5,20.296241889778408,,
lgbm,0.07,10,1500.0,0.2,0.5,20.296241889805998,,
lgbm,0.07,10,800.0,0.1,0.5,20.297650181353404,,
lgbm,0.07,10,800.0,0.2,0.5,20.297650181366702,,
lgbm,0.07,10,800.0,0.15,0.5,20.297650181374514,,
lgbm,0.07,10,800.0,0.05,0.5,20.297650181378604,,
lgbm,0.07,6,800.0,0.2,2.0,20.302834411724827,,
lgbm,0.07,6,800.0,0.15,2.0,20.302834411730355,,
lgbm,0.07,6,800.0,0.05,2.0,20.302834411794358,,
lgbm,0.07,6,800.0,0.1,2.0,20.30283441182161,,
lgbm,0.07,9,800.0,0.15,2.0,20.302838468024387,,
lgbm,0.07,9,800.0,0.1,2.0,20.302838468037397,,
lgbm,0.07,9,800.0,0.05,2.0,20.302838468146483,,
lgbm,0.07,9,800.0,0.2,2.0,20.302838468176127,,
lgbm,0.05,9,800.0,0.1,0.5,20.30287260450773,,
lgbm,0.05,9,800.0,0.2,0.5,20.302872604508053,,
lgbm,0.05,9,800.0,0.15,0.5,20.302872604559152,,
lgbm,0.05,9,800.0,0.05,0.5,20.302872604572446,,
lgbm,0.03,9,1000.0,0.15,1.0,20.304793005100443,,
lgbm,0.03,9,1000.0,0.2,1.0,20.30479300513224,,
lgbm,0.03,9,1000.0,0.1,1.0,20.30479300517135,,
lgbm,0.03,9,1000.0,0.05,1.0,20.304793005184614,,
lgbm,0.06,9,1500.0,0.05,0.5,20.30564868820359,,
lgbm,0.06,9,1500.0,0.2,0.5,20.305648688246148,,
lgbm,0.06,9,1500.0,0.1,0.5,20.305648688251495,,
lgbm,0.06,9,1500.0,0.15,0.5,20.305648688370823,,
lgbm,0.05,10,1500.0,0.2,1.0,20.307890868305385,,
lgbm,0.05,10,1500.0,0.15,1.0,20.30789086831302,,
lgbm,0.05,10,1500.0,0.05,1.0,20.30789086831655,,
lgbm,0.05,10,1500.0,0.1,1.0,20.30789086837008,,
catboost,0.07,9,,,,20.309308608596815,,1500.0
catboost,0.07,9,,,,20.309308608596815,,1800.0
catboost,0.07,9,,,,20.309308608596815,,1200.0
catboost,0.07,9,,,,20.309308608596815,,1000.0
lgbm,0.05,7,1200.0,0.05,2.0,20.309582128927413,,
lgbm,0.05,7,1200.0,0.2,2.0,20.309582128936604,,
lgbm,0.05,7,1200.0,0.1,2.0,20.309582128946946,,
lgbm,0.05,7,1200.0,0.15,2.0,20.309582128956748,,
lgbm,0.04,7,1200.0,0.15,2.0,20.310337011323377,,
lgbm,0.04,7,1200.0,0.1,2.0,20.31033701135,,
lgbm,0.04,7,1200.0,0.2,2.0,20.310337011355788,,
lgbm,0.04,7,1200.0,0.05,2.0,20.310337011357184,,
lgbm,0.06,10,1000.0,0.1,0.5,20.312152515767544,,
lgbm,0.06,10,1000.0,0.2,0.5,20.312152515819783,,
lgbm,0.06,10,1000.0,0.15,0.5,20.31215251590143,,
lgbm,0.06,10,1000.0,0.05,0.5,20.312152515903342,,
lgbm,0.05,10,1200.0,0.2,2.0,20.316674518482372,,
lgbm,0.05,10,1200.0,0.15,2.0,20.316674518491215,,
lgbm,0.05,10,1200.0,0.05,2.0,20.316674518492658,,
lgbm,0.05,10,1200.0,0.1,2.0,20.31667451849922,,
lgbm,0.05,8,1000.0,0.15,2.0,20.31752121339918,,
lgbm,0.05,8,1000.0,0.2,2.0,20.3175212134228,,
lgbm,0.05,8,1000.0,0.1,2.0,20.317521213445463,,
lgbm,0.05,8,1000.0,0.05,2.0,20.317521213446167,,
lgbm,0.06,7,1200.0,0.1,0.5,20.318222864505252,,
lgbm,0.06,7,1200.0,0.05,0.5,20.318222864519907,,
lgbm,0.06,7,1200.0,0.2,0.5,20.318222864572448,,
lgbm,0.06,7,1200.0,0.15,0.5,20.318222864679004,,
lgbm,0.07,6,1500.0,0.2,2.0,20.318235576995843,,
lgbm,0.07,6,1500.0,0.15,2.0,20.318235577156525,,
lgbm,0.07,6,1500.0,0.05,2.0,20.3182355771699,,
lgbm,0.07,6,1500.0,0.1,2.0,20.31823557722486,,
lgbm,0.03,8,1200.0,0.2,2.0,20.31929937750767,,
lgbm,0.03,8,1200.0,0.05,2.0,20.319299377508926,,
lgbm,0.03,8,1200.0,0.1,2.0,20.319299377525866,,
lgbm,0.03,8,1200.0,0.15,2.0,20.31929937755183,,
lgbm,0.04,7,1500.0,0.15,2.0,20.319407918599172,,
lgbm,0.04,7,1500.0,0.1,2.0,20.31940791864543,,
lgbm,0.04,7,1500.0,0.2,2.0,20.31940791864781,,
lgbm,0.04,7,1500.0,0.05,2.0,20.319407918664805,,
catboost,0.03,8,,,,20.321561335265965,,1200.0
lgbm,0.06,10,1200.0,0.2,0.5,20.321912889232618,,
lgbm,0.06,10,1200.0,0.1,0.5,20.321912889248335,,
lgbm,0.06,10,1200.0,0.05,0.5,20.321912889358877,,
lgbm,0.06,10,1200.0,0.15,0.5,20.32191288936381,,
lgbm,0.04,7,1000.0,0.05,2.0,20.322719749401287,,
lgbm,0.04,7,1000.0,0.2,2.0,20.322719749407295,,
lgbm,0.04,7,1000.0,0.1,2.0,20.32271974942242,,
lgbm,0.04,7,1000.0,0.15,2.0,20.32271974942259,,
catboost,0.03,9,,,,20.32347817858061,,1000.0
lgbm,0.04,10,800.0,0.2,2.0,20.32993385367321,,
lgbm,0.04,10,800.0,0.15,2.0,20.329933853673996,,
lgbm,0.04,10,800.0,0.1,2.0,20.3299338536756,,
lgbm,0.04,10,800.0,0.05,2.0,20.329933853687113,,
lgbm,0.03,10,1200.0,0.15,2.0,20.330348069725574,,
lgbm,0.03,10,1200.0,0.2,2.0,20.330348069725666,,
lgbm,0.03,10,1200.0,0.1,2.0,20.33034806972581,,
lgbm,0.03,10,1200.0,0.05,2.0,20.33034806973391,,
lgbm,0.06,7,1000.0,0.05,0.5,20.331299195774626,,
lgbm,0.06,7,1000.0,0.2,0.5,20.331299195780705,,
lgbm,0.06,7,1000.0,0.1,0.5,20.33129919578169,,
lgbm,0.06,7,1000.0,0.15,0.5,20.33129919586668,,
lgbm,0.05,7,1500.0,0.15,0.5,20.336376897348053,,
lgbm,0.05,7,1500.0,0.1,0.5,20.33637689739186,,
lgbm,0.05,7,1500.0,0.05,0.5,20.33637689740066,,
lgbm,0.05,7,1500.0,0.2,0.5,20.33637689749733,,
lgbm,0.05,10,1200.0,0.2,0.5,20.337446110883704,,
lgbm,0.05,10,1200.0,0.05,0.5,20.3374461108918,,
lgbm,0.05,10,1200.0,0.1,0.5,20.337446110941197,,
lgbm,0.05,10,1200.0,0.15,0.5,20.33744611100502,,
lgbm,0.07,8,800.0,0.2,1.0,20.339641563983253,,
lgbm,0.07,8,800.0,0.15,1.0,20.33964156402242,,
lgbm,0.07,8,800.0,0.1,1.0,20.339641564123152,,
lgbm,0.07,8,800.0,0.05,1.0,20.339641564144664,,
lgbm,0.06,10,800.0,0.2,0.5,20.34090533995549,,
lgbm,0.06,10,800.0,0.1,0.5,20.340905339999022,,
lgbm,0.06,10,800.0,0.05,0.5,20.34090534009828,,
lgbm,0.06,10,800.0,0.15,0.5,20.340905340112506,,
lgbm,0.07,9,800.0,0.1,0.5,20.3439824537985,,
lgbm,0.07,9,800.0,0.15,0.5,20.34398245384166,,
lgbm,0.07,9,800.0,0.2,0.5,20.343982453858,,
lgbm,0.07,9,800.0,0.05,0.5,20.34398245389059,,
lgbm,0.07,9,1000.0,0.15,2.0,20.34543190469094,,
lgbm,0.07,9,1000.0,0.1,2.0,20.34543190469699,,
lgbm,0.07,9,1000.0,0.2,2.0,20.34543190471468,,
lgbm,0.07,9,1000.0,0.05,2.0,20.345431904747223,,
lgbm,0.05,10,1500.0,0.2,2.0,20.345505416167793,,
lgbm,0.05,10,1500.0,0.15,2.0,20.345505416196776,,
lgbm,0.05,10,1500.0,0.1,2.0,20.345505416210337,,
lgbm,0.05,10,1500.0,0.05,2.0,20.345505416258707,,
lgbm,0.04,9,1500.0,0.15,2.0,20.345839982022984,,
lgbm,0.04,9,1500.0,0.05,2.0,20.345839982033148,,
lgbm,0.04,9,1500.0,0.1,2.0,20.345839982056617,,
lgbm,0.04,9,1500.0,0.2,2.0,20.345839982093747,,
lgbm,0.05,10,1200.0,0.15,1.0,20.348426157643612,,
lgbm,0.05,10,1200.0,0.05,1.0,20.34842615765941,,
lgbm,0.05,10,1200.0,0.2,1.0,20.348426157692625,,
lgbm,0.05,10,1200.0,0.1,1.0,20.348426157694103,,
lgbm,0.04,9,800.0,0.1,1.0,20.348695685097574,,
lgbm,0.04,9,800.0,0.2,1.0,20.34869568510735,,
lgbm,0.04,9,800.0,0.05,1.0,20.348695685115114,,
lgbm,0.04,9,800.0,0.15,1.0,20.348695685123328,,
lgbm,0.06,9,1500.0,0.2,1.0,20.349981007926328,,
lgbm,0.06,9,1500.0,0.15,1.0,20.349981008048125,,
lgbm,0.06,9,1500.0,0.05,1.0,20.349981008097505,,
lgbm,0.06,9,1500.0,0.1,1.0,20.349981008131188,,
lgbm,0.05,6,1500.0,0.05,0.5,20.350266349725278,,
lgbm,0.05,6,1500.0,0.2,0.5,20.350266349727324,,
lgbm,0.05,6,1500.0,0.15,0.5,20.350266349735794,,
lgbm,0.05,6,1500.0,0.1,0.5,20.350266349827557,,
lgbm,0.06,9,800.0,0.2,0.5,20.350538965213207,,
lgbm,0.06,9,800.0,0.1,0.5,20.350538965219187,,
lgbm,0.06,9,800.0,0.15,0.5,20.35053896528382,,
lgbm,0.06,9,800.0,0.05,0.5,20.350538965300714,,
lgbm,0.04,9,1000.0,0.05,2.0,20.351843394519136,,
lgbm,0.04,9,1000.0,0.15,2.0,20.351843394540666,,
lgbm,0.04,9,1000.0,0.1,2.0,20.351843394541973,,
lgbm,0.04,9,1000.0,0.2,2.0,20.351843394557765,,
lgbm,0.03,8,1000.0,0.05,1.0,20.353513311070685,,
lgbm,0.03,8,1000.0,0.15,1.0,20.35351331107986,,
lgbm,0.03,8,1000.0,0.2,1.0,20.353513311088278,,
lgbm,0.03,8,1000.0,0.1,1.0,20.353513311103548,,
lgbm,0.06,10,1000.0,0.1,1.0,20.355139572499226,,
lgbm,0.06,10,1000.0,0.2,1.0,20.3551395725145,,
lgbm,0.06,10,1000.0,0.15,1.0,20.35513957251697,,
lgbm,0.06,10,1000.0,0.05,1.0,20.355139572555142,,
lgbm,0.05,7,800.0,0.05,0.5,20.35585440389491,,
lgbm,0.05,7,800.0,0.15,0.5,20.355854403901542,,
lgbm,0.05,7,800.0,0.2,0.5,20.355854403915057,,
lgbm,0.05,7,800.0,0.1,0.5,20.3558544039214,,
lgbm,0.06,10,1500.0,0.1,1.0,20.356600239240613,,
lgbm,0.06,10,1500.0,0.2,1.0,20.35660023927031,,
lgbm,0.06,10,1500.0,0.05,1.0,20.3566002392873,,
lgbm,0.06,10,1500.0,0.15,1.0,20.356600239328046,,
lgbm,0.07,10,800.0,0.05,1.0,20.3578632305754,,
lgbm,0.07,10,800.0,0.2,1.0,20.357863230608604,,
lgbm,0.07,10,800.0,0.15,1.0,20.357863230643844,,
lgbm,0.07,10,800.0,0.1,1.0,20.35786323067648,,
lgbm,0.04,7,1500.0,0.15,1.0,20.35888229224998,,
lgbm,0.04,7,1500.0,0.1,1.0,20.35888229229942,,
lgbm,0.04,7,1500.0,0.05,1.0,20.358882292322438,,
lgbm,0.04,7,1500.0,0.2,1.0,20.358882292324928,,
lgbm,0.05,9,1000.0,0.15,1.0,20.36014302939464,,
lgbm,0.05,9,1000.0,0.05,1.0,20.36014302939964,,
lgbm,0.05,9,1000.0,0.1,1.0,20.360143029399826,,
lgbm,0.05,9,1000.0,0.2,1.0,20.36014302941279,,
lgbm,0.03,9,1500.0,0.15,0.5,20.360307825979003,,
lgbm,0.03,9,1500.0,0.2,0.5,20.360307825993733,,
lgbm,0.03,9,1500.0,0.1,0.5,20.360307826030493,,
lgbm,0.03,9,1500.0,0.05,0.5,20.360307826063305,,
lgbm,0.07,8,1000.0,0.15,1.0,20.360630678538666,,
lgbm,0.07,8,1000.0,0.2,1.0,20.360630678550752,,
lgbm,0.07,8,1000.0,0.05,1.0,20.360630678684025,,
lgbm,0.07,8,1000.0,0.1,1.0,20.36063067872188,,
lgbm,0.07,9,1000.0,0.1,0.5,20.36091717742632,,
lgbm,0.07,9,1000.0,0.2,0.5,20.360917177492617,,
lgbm,0.07,9,1000.0,0.05,0.5,20.360917177566527,,
lgbm,0.07,9,1000.0,0.15,0.5,20.36091717758309,,
lgbm,0.06,10,1200.0,0.1,1.0,20.36101205086485,,
lgbm,0.06,10,1200.0,0.2,1.0,20.36101205089773,,
lgbm,0.06,10,1200.0,0.15,1.0,20.36101205095855,,
lgbm,0.06,10,1200.0,0.05,1.0,20.36101205096921,,
lgbm,0.07,8,1200.0,0.05,2.0,20.362363505721408,,
lgbm,0.07,8,1200.0,0.1,2.0,20.362363505843952,,
lgbm,0.07,8,1200.0,0.15,2.0,20.362363506014997,,
lgbm,0.07,8,1200.0,0.2,2.0,20.36236350602335,,
lgbm,0.06,10,800.0,0.05,2.0,20.362645990197343,,
lgbm,0.06,10,800.0,0.15,2.0,20.36264599020646,,
lgbm,0.06,10,800.0,0.1,2.0,20.36264599021628,,
lgbm,0.06,10,800.0,0.2,2.0,20.36264599023589,,
lgbm,0.05,9,800.0,0.2,2.0,20.363228888649115,,
lgbm,0.05,9,800.0,0.15,2.0,20.363228888655613,,
lgbm,0.05,9,800.0,0.1,2.0,20.36322888867534,,
lgbm,0.05,9,800.0,0.05,2.0,20.363228888711888,,
lgbm,0.05,9,1200.0,0.15,1.0,20.363640340497923,,
lgbm,0.05,9,1200.0,0.05,1.0,20.36364034052374,,
lgbm,0.05,9,1200.0,0.1,1.0,20.363640340526885,,
lgbm,0.05,9,1200.0,0.2,1.0,20.363640340539007,,
lgbm,0.05,8,800.0,0.05,0.5,20.364286011477915,,
lgbm,0.05,8,800.0,0.15,0.5,20.364286011483514,,
lgbm,0.05,8,800.0,0.1,0.5,20.364286011492876,,
lgbm,0.05,8,800.0,0.2,0.5,20.36428601153229,,
lgbm,0.05,10,1000.0,0.1,0.5,20.364849849965818,,
lgbm,0.05,10,1000.0,0.2,0.5,20.364849849984044,,
lgbm,0.05,10,1000.0,0.05,0.5,20.36484985004437,,
lgbm,0.05,10,1000.0,0.15,0.5,20.364849850047676,,
lgbm,0.04,8,1000.0,0.2,0.5,20.365000481505692,,
